Kinase,Compound,Predicted_Kd_Category
AAK1,AMG-706,>300nM
ABL1(E255K)-phosphorylated,AMG-706,>300nM
ABL1(F317I)-nonphosphorylated,AMG-706,>300nM
ABL1(F317I)-phosphorylated,AMG-706,>300nM
ABL1(F317L)-nonphosphorylated,AMG-706,>300nM
ABL1(F317L)-phosphorylated,AMG-706,>300nM
ABL1(H396P)-nonphosphorylated,AMG-706,<300nM
ABL1(H396P)-phosphorylated,AMG-706,<300nM
ABL1(M351T)-phosphorylated,AMG-706,>300nM
ABL1(Q252H)-nonphosphorylated,AMG-706,<300nM
ABL1(Q252H)-phosphorylated,AMG-706,<300nM
ABL1(T315I)-nonphosphorylated,AMG-706,>300nM
ABL1(T315I)-phosphorylated,AMG-706,>300nM
ABL1(Y253F)-phosphorylated,AMG-706,<300nM
ABL1-nonphosphorylated,AMG-706,>300nM
ABL1-phosphorylated,AMG-706,>300nM
ABL2,AMG-706,>300nM
ACVR1,AMG-706,>300nM
ACVR1B,AMG-706,>300nM
ACVR2A,AMG-706,>300nM
ACVR2B,AMG-706,>300nM
ACVRL1,AMG-706,>300nM
ADCK3,AMG-706,>300nM
ADCK4,AMG-706,>300nM
AKT1,AMG-706,>300nM
AKT2,AMG-706,>300nM
AKT3,AMG-706,>300nM
ALK,AMG-706,>300nM
AMPK-alpha1,AMG-706,>300nM
AMPK-alpha2,AMG-706,>300nM
ANKK1,AMG-706,>300nM
ARK5,AMG-706,>300nM
ASK1,AMG-706,>300nM
ASK2,AMG-706,>300nM
AURKA,AMG-706,>300nM
AURKB,AMG-706,<300nM
AURKC,AMG-706,<300nM
AXL,AMG-706,>300nM
BIKE,AMG-706,<300nM
BLK,AMG-706,<300nM
BMPR1A,AMG-706,>300nM
BMPR1B,AMG-706,>300nM
BMPR2,AMG-706,>300nM
BMX,AMG-706,>300nM
BRAF,AMG-706,>300nM
BRAF(V600E),AMG-706,>300nM
BRK,AMG-706,>300nM
BRSK1,AMG-706,>300nM
BRSK2,AMG-706,>300nM
BTK,AMG-706,>300nM
CAMK1,AMG-706,>300nM
CAMK1D,AMG-706,>300nM
CAMK1G,AMG-706,>300nM
CAMK2A,AMG-706,>300nM
CAMK2B,AMG-706,>300nM
CAMK2D,AMG-706,>300nM
CAMK2G,AMG-706,>300nM
CAMK4,AMG-706,>300nM
CAMKK1,AMG-706,>300nM
CAMKK2,AMG-706,>300nM
CASK,AMG-706,>300nM
CDC2L1,AMG-706,>300nM
CDC2L2,AMG-706,>300nM
CDC2L5,AMG-706,>300nM
CDK11,AMG-706,>300nM
CDK2,AMG-706,>300nM
CDK3,AMG-706,>300nM
CDK4-cyclinD1,AMG-706,>300nM
CDK4-cyclinD3,AMG-706,>300nM
CDK5,AMG-706,>300nM
CDK7,AMG-706,>300nM
CDK8,AMG-706,>300nM
CDK9,AMG-706,>300nM
CDKL1,AMG-706,>300nM
CDKL2,AMG-706,>300nM
CDKL3,AMG-706,>300nM
CDKL5,AMG-706,>300nM
CHEK1,AMG-706,>300nM
CHEK2,AMG-706,>300nM
CIT,AMG-706,>300nM
CLK1,AMG-706,>300nM
CLK2,AMG-706,>300nM
CLK3,AMG-706,>300nM
CLK4,AMG-706,>300nM
CSF1R,AMG-706,<300nM
CSK,AMG-706,>300nM
CSNK1A1,AMG-706,>300nM
CSNK1A1L,AMG-706,>300nM
CSNK1D,AMG-706,>300nM
CSNK1E,AMG-706,>300nM
CSNK1G1,AMG-706,>300nM
CSNK1G2,AMG-706,>300nM
CSNK1G3,AMG-706,>300nM
CSNK2A1,AMG-706,>300nM
CSNK2A2,AMG-706,>300nM
CTK,AMG-706,>300nM
DAPK1,AMG-706,>300nM
DAPK2,AMG-706,>300nM
DAPK3,AMG-706,>300nM
DCAMKL1,AMG-706,>300nM
DCAMKL2,AMG-706,>300nM
DCAMKL3,AMG-706,>300nM
DDR1,AMG-706,<300nM
DDR2,AMG-706,<300nM
DLK,AMG-706,>300nM
DMPK,AMG-706,>300nM
DMPK2,AMG-706,>300nM
DRAK1,AMG-706,>300nM
DRAK2,AMG-706,>300nM
DYRK1A,AMG-706,>300nM
DYRK1B,AMG-706,>300nM
DYRK2,AMG-706,>300nM
EGFR,AMG-706,>300nM
EGFR(E746-A750del),AMG-706,>300nM
EGFR(G719C),AMG-706,>300nM
EGFR(G719S),AMG-706,>300nM
"EGFR(L747-E749del, A750P)",AMG-706,>300nM
"EGFR(L747-S752del, P753S)",AMG-706,>300nM
"EGFR(L747-T751del,Sins)",AMG-706,>300nM
EGFR(L858R),AMG-706,>300nM
"EGFR(L858R,T790M)",AMG-706,>300nM
EGFR(L861Q),AMG-706,>300nM
EGFR(S752-I759del),AMG-706,>300nM
EGFR(T790M),AMG-706,>300nM
EIF2AK1,AMG-706,>300nM
EPHA1,AMG-706,>300nM
EPHA2,AMG-706,>300nM
EPHA3,AMG-706,>300nM
EPHA4,AMG-706,>300nM
EPHA5,AMG-706,>300nM
EPHA6,AMG-706,>300nM
EPHA7,AMG-706,>300nM
EPHA8,AMG-706,>300nM
EPHB1,AMG-706,>300nM
EPHB2,AMG-706,>300nM
EPHB3,AMG-706,>300nM
EPHB4,AMG-706,>300nM
EPHB6,AMG-706,>300nM
ERBB2,AMG-706,>300nM
ERBB3,AMG-706,>300nM
ERBB4,AMG-706,>300nM
ERK1,AMG-706,>300nM
ERK2,AMG-706,>300nM
ERK3,AMG-706,>300nM
ERK4,AMG-706,>300nM
ERK5,AMG-706,>300nM
ERK8,AMG-706,<300nM
ERN1,AMG-706,>300nM
FAK,AMG-706,>300nM
FER,AMG-706,>300nM
FES,AMG-706,>300nM
FGFR1,AMG-706,>300nM
FGFR2,AMG-706,>300nM
FGFR3,AMG-706,>300nM
FGFR3(G697C),AMG-706,>300nM
FGFR4,AMG-706,>300nM
FGR,AMG-706,>300nM
FLT1,AMG-706,<300nM
FLT3,AMG-706,<300nM
FLT3(D835H),AMG-706,>300nM
FLT3(D835Y),AMG-706,>300nM
FLT3(ITD),AMG-706,<300nM
FLT3(K663Q),AMG-706,<300nM
FLT3(N841I),AMG-706,<300nM
FLT3(R834Q),AMG-706,>300nM
FLT4,AMG-706,>300nM
FRK,AMG-706,>300nM
FYN,AMG-706,>300nM
GAK,AMG-706,>300nM
"GCN2(Kin.Dom.2,S808G)",AMG-706,>300nM
GRK1,AMG-706,>300nM
GRK4,AMG-706,>300nM
GRK7,AMG-706,>300nM
GSK3A,AMG-706,>300nM
GSK3B,AMG-706,>300nM
HCK,AMG-706,>300nM
HIPK1,AMG-706,>300nM
HIPK2,AMG-706,>300nM
HIPK3,AMG-706,>300nM
HIPK4,AMG-706,>300nM
HPK1,AMG-706,>300nM
HUNK,AMG-706,>300nM
ICK,AMG-706,>300nM
IGF1R,AMG-706,>300nM
IKK-alpha,AMG-706,>300nM
IKK-beta,AMG-706,>300nM
IKK-epsilon,AMG-706,>300nM
INSR,AMG-706,>300nM
INSRR,AMG-706,>300nM
IRAK1,AMG-706,>300nM
IRAK3,AMG-706,>300nM
IRAK4,AMG-706,>300nM
ITK,AMG-706,>300nM
JAK1(JH1domain-catalytic),AMG-706,>300nM
JAK1(JH2domain-pseudokinase),AMG-706,>300nM
JAK2(JH1domain-catalytic),AMG-706,>300nM
JAK3(JH1domain-catalytic),AMG-706,>300nM
JNK1,AMG-706,>300nM
JNK2,AMG-706,>300nM
JNK3,AMG-706,>300nM
KIT,AMG-706,<300nM
KIT(A829P),AMG-706,<300nM
KIT(D816H),AMG-706,<300nM
KIT(D816V),AMG-706,<300nM
KIT(L576P),AMG-706,<300nM
KIT(V559D),AMG-706,<300nM
"KIT(V559D,T670I)",AMG-706,<300nM
"KIT(V559D,V654A)",AMG-706,<300nM
LATS1,AMG-706,>300nM
LATS2,AMG-706,>300nM
LCK,AMG-706,<300nM
LIMK1,AMG-706,>300nM
LIMK2,AMG-706,>300nM
LKB1,AMG-706,>300nM
LOK,AMG-706,>300nM
LRRK2,AMG-706,>300nM
LRRK2(G2019S),AMG-706,>300nM
LTK,AMG-706,>300nM
LYN,AMG-706,<300nM
LZK,AMG-706,>300nM
MAK,AMG-706,>300nM
MAP3K1,AMG-706,>300nM
MAP3K15,AMG-706,>300nM
MAP3K2,AMG-706,>300nM
MAP3K3,AMG-706,>300nM
MAP3K4,AMG-706,>300nM
MAP4K2,AMG-706,>300nM
MAP4K3,AMG-706,>300nM
MAP4K4,AMG-706,>300nM
MAP4K5,AMG-706,>300nM
MAPKAPK2,AMG-706,>300nM
MAPKAPK5,AMG-706,>300nM
MARK1,AMG-706,>300nM
MARK2,AMG-706,>300nM
MARK3,AMG-706,>300nM
MARK4,AMG-706,>300nM
MAST1,AMG-706,>300nM
MEK1,AMG-706,>300nM
MEK2,AMG-706,>300nM
MEK3,AMG-706,>300nM
MEK4,AMG-706,>300nM
MEK5,AMG-706,<300nM
MEK6,AMG-706,>300nM
MELK,AMG-706,>300nM
MERTK,AMG-706,>300nM
MET,AMG-706,>300nM
MET(M1250T),AMG-706,>300nM
MET(Y1235D),AMG-706,>300nM
MINK,AMG-706,>300nM
MKK7,AMG-706,>300nM
MKNK1,AMG-706,>300nM
MKNK2,AMG-706,>300nM
MLCK,AMG-706,>300nM
MLK1,AMG-706,>300nM
MLK2,AMG-706,>300nM
MLK3,AMG-706,>300nM
MRCKA,AMG-706,>300nM
MRCKB,AMG-706,>300nM
MST1,AMG-706,>300nM
MST1R,AMG-706,>300nM
MST2,AMG-706,>300nM
MST3,AMG-706,>300nM
MST4,AMG-706,>300nM
MTOR,AMG-706,>300nM
MUSK,AMG-706,>300nM
MYLK,AMG-706,>300nM
MYLK2,AMG-706,>300nM
MYLK4,AMG-706,>300nM
MYO3A,AMG-706,>300nM
MYO3B,AMG-706,>300nM
NDR1,AMG-706,>300nM
NDR2,AMG-706,>300nM
NEK1,AMG-706,>300nM
NEK11,AMG-706,>300nM
NEK2,AMG-706,>300nM
NEK3,AMG-706,>300nM
NEK4,AMG-706,>300nM
NEK5,AMG-706,>300nM
NEK6,AMG-706,>300nM
NEK7,AMG-706,>300nM
NEK9,AMG-706,>300nM
NIM1,AMG-706,>300nM
NLK,AMG-706,>300nM
OSR1,AMG-706,>300nM
p38-alpha,AMG-706,>300nM
p38-beta,AMG-706,>300nM
p38-delta,AMG-706,>300nM
p38-gamma,AMG-706,>300nM
PAK1,AMG-706,>300nM
PAK2,AMG-706,>300nM
PAK3,AMG-706,>300nM
PAK4,AMG-706,>300nM
PAK6,AMG-706,>300nM
PAK7,AMG-706,>300nM
PCTK1,AMG-706,>300nM
PCTK2,AMG-706,>300nM
PCTK3,AMG-706,>300nM
PDGFRA,AMG-706,<300nM
PDGFRB,AMG-706,<300nM
PDPK1,AMG-706,>300nM
PFCDPK1(P.falciparum),AMG-706,>300nM
PFPK5(P.falciparum),AMG-706,>300nM
PFTAIRE2,AMG-706,>300nM
PFTK1,AMG-706,>300nM
PHKG1,AMG-706,>300nM
PHKG2,AMG-706,>300nM
PIK3C2B,AMG-706,>300nM
PIK3C2G,AMG-706,>300nM
PIK3CA,AMG-706,>300nM
PIK3CA(C420R),AMG-706,>300nM
PIK3CA(E542K),AMG-706,>300nM
PIK3CA(E545A),AMG-706,>300nM
PIK3CA(E545K),AMG-706,>300nM
PIK3CA(H1047L),AMG-706,>300nM
PIK3CA(H1047Y),AMG-706,>300nM
PIK3CA(I800L),AMG-706,>300nM
PIK3CA(M1043I),AMG-706,>300nM
PIK3CA(Q546K),AMG-706,>300nM
PIK3CB,AMG-706,>300nM
PIK3CD,AMG-706,>300nM
PIK3CG,AMG-706,>300nM
PIK4CB,AMG-706,>300nM
PIM1,AMG-706,>300nM
PIM2,AMG-706,>300nM
PIM3,AMG-706,>300nM
PIP5K1A,AMG-706,>300nM
PIP5K1C,AMG-706,>300nM
PIP5K2B,AMG-706,>300nM
PIP5K2C,AMG-706,>300nM
PKAC-alpha,AMG-706,>300nM
PKAC-beta,AMG-706,>300nM
PKMYT1,AMG-706,>300nM
PKN1,AMG-706,>300nM
PKN2,AMG-706,>300nM
PKNB(M.tuberculosis),AMG-706,>300nM
PLK1,AMG-706,>300nM
PLK2,AMG-706,>300nM
PLK3,AMG-706,>300nM
PLK4,AMG-706,>300nM
PRKCD,AMG-706,>300nM
PRKCE,AMG-706,>300nM
PRKCH,AMG-706,>300nM
PRKCI,AMG-706,>300nM
PRKCQ,AMG-706,>300nM
PRKD1,AMG-706,>300nM
PRKD2,AMG-706,>300nM
PRKD3,AMG-706,>300nM
PRKG1,AMG-706,>300nM
PRKG2,AMG-706,>300nM
PRKR,AMG-706,>300nM
PRKX,AMG-706,>300nM
PRP4,AMG-706,>300nM
PYK2,AMG-706,>300nM
QSK,AMG-706,>300nM
RAF1,AMG-706,>300nM
RET,AMG-706,<300nM
RET(M918T),AMG-706,<300nM
RET(V804L),AMG-706,>300nM
RET(V804M),AMG-706,<300nM
RIOK1,AMG-706,>300nM
RIOK2,AMG-706,>300nM
RIOK3,AMG-706,>300nM
RIPK1,AMG-706,>300nM
RIPK2,AMG-706,>300nM
RIPK4,AMG-706,>300nM
RIPK5,AMG-706,>300nM
ROCK1,AMG-706,>300nM
ROCK2,AMG-706,>300nM
ROS1,AMG-706,>300nM
RPS6KA4(Kin.Dom.1-N-terminal),AMG-706,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),AMG-706,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),AMG-706,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),AMG-706,>300nM
RSK1(Kin.Dom.1-N-terminal),AMG-706,>300nM
RSK1(Kin.Dom.2-C-terminal),AMG-706,>300nM
RSK2(Kin.Dom.1-N-terminal),AMG-706,>300nM
RSK3(Kin.Dom.1-N-terminal),AMG-706,>300nM
RSK3(Kin.Dom.2-C-terminal),AMG-706,>300nM
RSK4(Kin.Dom.1-N-terminal),AMG-706,>300nM
RSK4(Kin.Dom.2-C-terminal),AMG-706,>300nM
S6K1,AMG-706,>300nM
SBK1,AMG-706,>300nM
SgK110,AMG-706,>300nM
SGK3,AMG-706,>300nM
SIK,AMG-706,>300nM
