Accession Number,Entrez Gene Symbol,Kinase,AMG-706,BIBF-1120 (derivative),CI-1040,GSK-461364A,PI-103,SKI-606,Sorafenib,SU-14813,Sunitinib,TG-100-115,VX-680/MK-0457,VX-745
NP_055726.3,AAK1,AAK1,10001,63,10001,10001,10001,2300,10001,66,11,870,290,10001
NP_005148.2,ABL1,ABL1(E255K)-phosphorylated,10001,63,10001,10001,10001,0.047,3400,310,180,10001,3,10001
NP_005148.2,ABL1,ABL1(F317I)-nonphosphorylated,4000,6900,10001,10001,10001,0.63,1700,3400,3600,10001,7200,10001
NP_005148.2,ABL1,ABL1(F317I)-phosphorylated,10001,2600,10001,10001,10001,0.18,4900,2400,890,10001,2100,10001
NP_005148.2,ABL1,ABL1(F317L)-nonphosphorylated,910,2300,10001,10001,10001,0.11,770,3300,730,10001,480,10001
NP_005148.2,ABL1,ABL1(F317L)-phosphorylated,7700,640,10001,10001,10001,0.029,7100,1200,370,8400,400,10001
NP_005148.2,ABL1,ABL1(H396P)-nonphosphorylated,1400,45,10001,10001,10001,0.062,520,240,74,5300,3.3,10001
NP_005148.2,ABL1,ABL1(H396P)-phosphorylated,10001,49,10001,10001,10001,0.057,2400,560,140,3800,3.1,10001
NP_005148.2,ABL1,ABL1(M351T)-phosphorylated,10001,52,10001,10001,10001,0.037,1200,500,120,10001,5.3,10001
NP_005148.2,ABL1,ABL1(Q252H)-nonphosphorylated,670,73,10001,10001,10001,0.086,130,870,240,10001,3.8,10001
NP_005148.2,ABL1,ABL1(Q252H)-phosphorylated,10001,28,10001,10001,10001,0.039,5500,500,76,10001,9.4,10001
NP_005148.2,ABL1,ABL1(T315I)-nonphosphorylated,10001,66,10001,10001,10001,21,590,220,150,7800,9.7,10001
NP_005148.2,ABL1,ABL1(T315I)-phosphorylated,10001,10,10001,10001,10001,3.6,1500,160,55,890,9.3,10001
NP_005148.2,ABL1,ABL1(Y253F)-phosphorylated,4500,37,10001,10001,10001,0.036,660,580,140,10001,7.8,10001
NP_005148.2,ABL1,ABL1-nonphosphorylated,680,230,10001,10001,10001,0.12,130,920,270,10001,13,10001
NP_005148.2,ABL1,ABL1-phosphorylated,6700,64,10001,10001,10001,0.057,1400,620,150,10001,7.5,10001
NP_005149.3,ABL2,ABL2,4500,2000,10001,10001,10001,1.5,2900,10001,1000,10001,4,1900
NP_001096.1,ACVR1,ACVR1,10001,600,10001,10001,10001,10001,10001,10001,10001,10001,1900,10001
NP_004293.1,ACVR1B,ACVR1B,10001,4900,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_001607.1,ACVR2A,ACVR2A,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_001097.2,ACVR2B,ACVR2B,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_000011.1,ACVRL1,ACVRL1,10001,4200,10001,10001,10001,10001,10001,10001,10001,10001,9500,10001
NP_064632.2,CABC1,ADCK3,10001,10001,10001,10001,10001,10001,10001,10001,10001,94,10001,10001
NP_079152.3,ADCK4,ADCK4,10001,10001,10001,10001,10001,10001,10001,10001,10001,1400,10001,10001
NP_005154.2,AKT1,AKT1,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_001617.1,AKT2,AKT2,10001,10001,10001,10001,10001,10001,10001,10001,2700,10001,10001,10001
NP_005456.1,AKT3,AKT3,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_004295.2,ALK,ALK,10001,31,10001,10001,10001,690,10001,490,170,10001,3100,10001
BAA36547.1,PRKAA1,AMPK-alpha1,10001,87,10001,10001,10001,3900,10001,100,19,10001,1100,10001
NP_006243.2,PRKAA2,AMPK-alpha2,10001,84,10001,10001,10001,10001,10001,290,89,10001,350,10001
NP_848605.1,ANKK1,ANKK1,10001,10001,10001,6200,10001,2100,10001,160,310,10001,5600,10001
NP_055655.1,NUAK1,ARK5,10001,160,10001,10001,10001,5900,10001,460,48,10001,200,10001
NP_005914.1,MAP3K5,ASK1,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_004663.3,MAP3K6,ASK2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_003591.2,AURKA,AURKA,10001,10001,10001,10001,10001,10001,10001,10001,1700,10001,3.9,10001
AAH00442.2,AURKB,AURKB,10001,420,10001,10001,10001,10001,440,340,380,10001,7.4,10001
AAC77369.1,AURKC,AURKC,1900,190,1800,10001,10001,10001,210,810,220,10001,6.3,10001
NP_001690.2,AXL,AXL,10001,12,10001,10001,10001,52,4500,84,9,10001,210,10001
NP_060063.2,BMP2K,BIKE,10001,2.2,10001,470,10001,350,10001,27,5.5,640,65,10001
NP_001706.2,BLK,BLK,2200,380,10001,10001,10001,3.3,10001,750,65,10001,2200,3100
NP_004320.2,BMPR1A,BMPR1A,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_001194.1,BMPR1B,BMPR1B,10001,10001,10001,10001,10001,10001,10001,3700,2400,10001,1100,10001
NP_001195.2,BMPR2,BMPR2,10001,56,10001,10001,10001,580,10001,200,570,10001,7100,10001
NP_001712.1,BMX,BMX,10001,10001,10001,10001,10001,200,10001,10001,10001,10001,2600,10001
NP_004324.2,BRAF,BRAF,630,10001,10001,10001,2900,10001,540,10001,10001,2100,10001,10001
NP_004324.2,BRAF,BRAF(V600E),280,10001,10001,10001,2300,10001,260,10001,10001,2000,10001,10001
NP_005966.1,PTK6,BRK,1000,10001,10001,10001,10001,10001,10001,10001,4600,5000,10001,10001
NP_115806.1,BRSK1,BRSK1,10001,10001,10001,10001,10001,10001,10001,5000,3500,730,8400,10001
NP_003948.2,BRSK2,BRSK2,10001,10001,10001,8300,10001,10001,10001,4100,1100,1200,10001,10001
NP_000052.1,BTK,BTK,10001,310,10001,10001,10001,4.8,10001,4000,2100,10001,4400,10001
NP_003647.1,CAMK1,CAMK1,10001,5900,10001,10001,10001,10001,10001,3300,970,10001,7000,10001
NP_065130.1,CAMK1D,CAMK1D,10001,2200,10001,10001,10001,550,10001,970,510,10001,4900,10001
NP_065172.1,CAMK1G,CAMK1G,10001,260,10001,10001,10001,10001,10001,940,440,10001,6500,10001
NP_741960.1,CAMK2A,CAMK2A,10001,3600,3400,1000,10001,4500,10001,350,80,10001,10001,10001
NP_001211.3,CAMK2B,CAMK2B,10001,10001,10001,2900,10001,10001,10001,2300,1400,10001,10001,10001
AAD20442.1,CAMK2D,CAMK2D,10001,10001,10001,620,10001,10001,10001,760,420,10001,10001,10001
NP_751913.1,CAMK2G,CAMK2G,10001,10001,10001,1300,10001,3600,10001,1100,690,10001,10001,10001
NP_001735.1,CAMK4,CAMK4,10001,3700,10001,10001,10001,10001,10001,2700,890,10001,10001,10001
NP_115670.1,CAMKK1,CAMKK1,10001,630,10001,10001,10001,10001,10001,850,420,10001,4600,10001
NP_006540.3,CAMKK2,CAMKK2,10001,920,10001,10001,10001,780,10001,2500,1500,10001,10001,10001
NP_003679.2,CASK,CASK,10001,10001,10001,10001,10001,830,10001,10001,10001,10001,10001,10001
NP_277023.1,CDC2L1,CDC2L1,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,290,10001
NP_076916.1,CDC2L2,CDC2L2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,260,10001
NP_003709.3,CDC2L5,CDC2L5,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_055891.1,CDC2L6,CDK11,10001,10001,10001,10001,10001,10001,250,10001,10001,10001,10001,10001
NP_001789.2,CDK2,CDK2,10001,1400,10001,10001,10001,10001,8700,10001,10001,10001,10001,10001
NP_001249.1,CDK3,CDK3,10001,10001,10001,10001,10001,10001,3800,10001,10001,10001,10001,10001
NP_000066.1,CDK4,CDK4-cyclinD1,10001,160,10001,10001,10001,10001,10001,4900,6200,10001,10001,10001
NP_000066.1,CDK4,CDK4-cyclinD3,10001,720,10001,10001,10001,10001,10001,7100,2000,10001,10001,10001
NP_004926.1,CDK5,CDK5,10001,10001,10001,10001,10001,10001,8300,10001,6900,10001,10001,10001
NP_001790.1,CDK7,CDK7,10001,300,10001,7700,7200,1200,140,930,330,10001,10001,10001
NP_001251.1,CDK8,CDK8,10001,10001,10001,10001,10001,10001,310,10001,10001,10001,10001,10001
NP_001252.1,CDK9,CDK9,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_004187.2,CDKL1,CDKL1,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_003939.1,CDKL2,CDKL2,10001,1300,10001,10001,10001,10001,130,3900,1100,10001,49,10001
NP_001107047.1,CDKL3,CDKL3,10001,10001,10001,10001,10001,10001,490,10001,10001,10001,350,10001
NP_003150.1,CDKL5,CDKL5,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,2800,10001
NP_001265.2,CHEK1,CHEK1,10001,290,10001,10001,10001,3000,10001,1200,300,10001,8700,10001
NP_001005735.1,CHEK2,CHEK2,10001,10001,10001,10001,10001,120,10001,40,10,10001,10001,10001
NP_009105.1,CIT,CIT,300,10001,10001,10001,10001,2400,6200,94,3900,10001,10001,10001
AAA61480.1,CLK1,CLK1,10001,8.8,10001,10001,3900,600,7500,360,22,140,10001,10001
NP_003984.2,CLK2,CLK2,10001,760,10001,10001,5500,1700,10001,150,20,43,10001,10001
NP_003983.2,CLK3,CLK3,10001,10001,10001,10001,5900,300,10001,10001,10001,7100,10001,10001
NP_065717.1,CLK4,CLK4,10001,18,10001,10001,10001,3200,10001,250,29,130,10001,10001
NP_005202.2,CSF1R,CSF1R,5.6,48,10001,10001,10001,380,28,3.6,2.5,10001,1800,2600
NP_004374.1,CSK,CSK,10001,10001,10001,10001,10001,32,10001,10001,10001,10001,4800,10001
NP_001883.4,CSNK1A1,CSNK1A1,10001,10001,10001,10001,10001,280,10001,400,99,830,10001,10001
NP_660204.1,CSNK1A1L,CSNK1A1L,10001,10001,10001,10001,10001,2600,10001,1500,550,1900,10001,10001
NP_620693.1,CSNK1D,CSNK1D,10001,1300,10001,10001,10001,240,10001,260,15,1300,10001,10001
NP_001885.1,CSNK1E,CSNK1E,10001,230,10001,10001,10001,110,10001,340,13,1200,10001,10001
NP_071331.2,CSNK1G1,CSNK1G1,10001,10001,10001,10001,10001,10001,10001,1000,930,5700,10001,10001
NP_001310.2,CSNK1G2,CSNK1G2,10001,10001,10001,10001,10001,10001,10001,790,110,2400,10001,10001
NP_004375.2,CSNK1G3,CSNK1G3,10001,10001,10001,10001,10001,10001,10001,570,240,8700,10001,10001
NP_001886.1,CSNK2A1,CSNK2A1,10001,7500,10001,7300,5400,10001,10001,1900,900,2800,10001,10001
NP_001887.1,CSNK2A2,CSNK2A2,10001,890,10001,990,2900,10001,10001,300,160,1500,10001,10001
NP_002369.2,MATK,CTK,10001,10001,10001,10001,10001,5800,10001,6200,7700,10001,10001,10001
NP_004929.2,DAPK1,DAPK1,10001,10001,10001,1400,2400,10001,10001,270,120,10001,10001,10001
NP_055141.2,DAPK2,DAPK2,10001,3200,10001,2900,2700,10001,10001,400,150,10001,10001,10001
NP_001339.1,DAPK3,DAPK3,10001,2100,10001,5500,840,10001,10001,170,22,10001,9900,10001
NP_004725.1,DCLK1,DCAMKL1,10001,540,10001,10001,10001,10001,10001,550,370,10001,10001,10001
NP_001035351.3,DCLK2,DCAMKL2,10001,10001,10001,10001,10001,10001,10001,3700,2700,10001,10001,10001
NP_208382.1,DCLK3,DCAMKL3,10001,770,10001,10001,10001,5400,10001,240,110,10001,3600,10001
NP_001945.3,DDR1,DDR1,260,12,10001,10001,10001,120,1.5,10001,2000,10001,28,1100
CAA52777.1,DDR2,DDR2,10001,42,10001,10001,10001,140,6.6,9900,2900,10001,230,10001
NP_006292.2,MAP3K12,DLK,10001,140,10001,10001,10001,670,10001,560,100,10001,190,10001
NP_004400.4,DMPK,DMPK,10001,10001,10001,10001,10001,91,10001,10001,10001,10001,10001,10001
NP_059995.2,CDC42BPG,DMPK2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_004751.1,STK17A,DRAK1,10001,110,10001,10001,10001,10001,10001,24,1,10001,9000,10001
