Kinase,Compound,Predicted_Kd_Category
AAK1,AMG-706,>3000nM
ABL1(E255K)-phosphorylated,AMG-706,<3000nM
ABL1(F317I)-nonphosphorylated,AMG-706,>3000nM
ABL1(F317I)-phosphorylated,AMG-706,>3000nM
ABL1(F317L)-nonphosphorylated,AMG-706,>3000nM
ABL1(F317L)-phosphorylated,AMG-706,>3000nM
ABL1(H396P)-nonphosphorylated,AMG-706,<3000nM
ABL1(H396P)-phosphorylated,AMG-706,>3000nM
ABL1(M351T)-phosphorylated,AMG-706,<3000nM
ABL1(Q252H)-nonphosphorylated,AMG-706,>3000nM
ABL1(Q252H)-phosphorylated,AMG-706,>3000nM
ABL1(T315I)-nonphosphorylated,AMG-706,>3000nM
ABL1(T315I)-phosphorylated,AMG-706,>3000nM
ABL1(Y253F)-phosphorylated,AMG-706,<3000nM
ABL1-nonphosphorylated,AMG-706,<3000nM
ABL1-phosphorylated,AMG-706,<3000nM
ABL2,AMG-706,>3000nM
ACVR1,AMG-706,>3000nM
ACVR1B,AMG-706,>3000nM
ACVR2A,AMG-706,>3000nM
ACVR2B,AMG-706,>3000nM
ACVRL1,AMG-706,>3000nM
ADCK3,AMG-706,>3000nM
ADCK4,AMG-706,>3000nM
AKT1,AMG-706,>3000nM
AKT2,AMG-706,>3000nM
AKT3,AMG-706,>3000nM
ALK,AMG-706,>3000nM
AMPK-alpha1,AMG-706,>3000nM
AMPK-alpha2,AMG-706,>3000nM
ANKK1,AMG-706,>3000nM
ARK5,AMG-706,>3000nM
ASK1,AMG-706,>3000nM
ASK2,AMG-706,>3000nM
AURKA,AMG-706,>3000nM
AURKB,AMG-706,>3000nM
AURKC,AMG-706,>3000nM
AXL,AMG-706,>3000nM
BIKE,AMG-706,>3000nM
BLK,AMG-706,<3000nM
BMPR1A,AMG-706,>3000nM
BMPR1B,AMG-706,>3000nM
BMPR2,AMG-706,>3000nM
BMX,AMG-706,>3000nM
BRAF,AMG-706,>3000nM
BRAF(V600E),AMG-706,>3000nM
BRK,AMG-706,>3000nM
BRSK1,AMG-706,>3000nM
BRSK2,AMG-706,>3000nM
BTK,AMG-706,>3000nM
CAMK1,AMG-706,>3000nM
CAMK1D,AMG-706,>3000nM
CAMK1G,AMG-706,>3000nM
CAMK2A,AMG-706,>3000nM
CAMK2B,AMG-706,>3000nM
CAMK2D,AMG-706,>3000nM
CAMK2G,AMG-706,>3000nM
CAMK4,AMG-706,>3000nM
CAMKK1,AMG-706,>3000nM
CAMKK2,AMG-706,>3000nM
CASK,AMG-706,>3000nM
CDC2L1,AMG-706,>3000nM
CDC2L2,AMG-706,>3000nM
CDC2L5,AMG-706,>3000nM
CDK11,AMG-706,>3000nM
CDK2,AMG-706,>3000nM
CDK3,AMG-706,>3000nM
CDK4-cyclinD1,AMG-706,>3000nM
CDK4-cyclinD3,AMG-706,>3000nM
CDK5,AMG-706,>3000nM
CDK7,AMG-706,>3000nM
CDK8,AMG-706,>3000nM
CDK9,AMG-706,>3000nM
CDKL1,AMG-706,>3000nM
CDKL2,AMG-706,>3000nM
CDKL3,AMG-706,>3000nM
CDKL5,AMG-706,>3000nM
CHEK1,AMG-706,>3000nM
CHEK2,AMG-706,>3000nM
CIT,AMG-706,>3000nM
CLK1,AMG-706,<3000nM
CLK2,AMG-706,<3000nM
CLK3,AMG-706,>3000nM
CLK4,AMG-706,<3000nM
CSF1R,AMG-706,<3000nM
CSK,AMG-706,>3000nM
CSNK1A1,AMG-706,>3000nM
CSNK1A1L,AMG-706,>3000nM
CSNK1D,AMG-706,>3000nM
CSNK1E,AMG-706,>3000nM
CSNK1G1,AMG-706,>3000nM
CSNK1G2,AMG-706,>3000nM
CSNK1G3,AMG-706,>3000nM
CSNK2A1,AMG-706,>3000nM
CSNK2A2,AMG-706,>3000nM
CTK,AMG-706,>3000nM
DAPK1,AMG-706,>3000nM
DAPK2,AMG-706,>3000nM
DAPK3,AMG-706,>3000nM
DCAMKL1,AMG-706,>3000nM
DCAMKL2,AMG-706,>3000nM
DCAMKL3,AMG-706,>3000nM
DDR1,AMG-706,<3000nM
DDR2,AMG-706,>3000nM
DLK,AMG-706,>3000nM
DMPK,AMG-706,>3000nM
DMPK2,AMG-706,>3000nM
DRAK1,AMG-706,>3000nM
DRAK2,AMG-706,>3000nM
DYRK1A,AMG-706,<3000nM
DYRK1B,AMG-706,>3000nM
DYRK2,AMG-706,>3000nM
EGFR,AMG-706,>3000nM
EGFR(E746-A750del),AMG-706,>3000nM
EGFR(G719C),AMG-706,>3000nM
EGFR(G719S),AMG-706,>3000nM
"EGFR(L747-E749del, A750P)",AMG-706,>3000nM
"EGFR(L747-S752del, P753S)",AMG-706,>3000nM
"EGFR(L747-T751del,Sins)",AMG-706,>3000nM
EGFR(L858R),AMG-706,>3000nM
"EGFR(L858R,T790M)",AMG-706,>3000nM
EGFR(L861Q),AMG-706,>3000nM
EGFR(S752-I759del),AMG-706,>3000nM
EGFR(T790M),AMG-706,>3000nM
EIF2AK1,AMG-706,>3000nM
EPHA1,AMG-706,>3000nM
EPHA2,AMG-706,>3000nM
EPHA3,AMG-706,>3000nM
EPHA4,AMG-706,>3000nM
EPHA5,AMG-706,>3000nM
EPHA6,AMG-706,>3000nM
EPHA7,AMG-706,>3000nM
EPHA8,AMG-706,>3000nM
EPHB1,AMG-706,>3000nM
EPHB2,AMG-706,>3000nM
EPHB3,AMG-706,>3000nM
EPHB4,AMG-706,>3000nM
EPHB6,AMG-706,>3000nM
ERBB2,AMG-706,>3000nM
ERBB3,AMG-706,>3000nM
ERBB4,AMG-706,>3000nM
ERK1,AMG-706,>3000nM
ERK2,AMG-706,>3000nM
ERK3,AMG-706,>3000nM
ERK4,AMG-706,>3000nM
ERK5,AMG-706,>3000nM
ERK8,AMG-706,>3000nM
ERN1,AMG-706,>3000nM
FAK,AMG-706,>3000nM
FER,AMG-706,>3000nM
FES,AMG-706,>3000nM
FGFR1,AMG-706,>3000nM
FGFR2,AMG-706,>3000nM
FGFR3,AMG-706,>3000nM
FGFR3(G697C),AMG-706,>3000nM
FGFR4,AMG-706,>3000nM
FGR,AMG-706,>3000nM
FLT1,AMG-706,>3000nM
FLT3,AMG-706,>3000nM
FLT3(D835H),AMG-706,>3000nM
FLT3(D835Y),AMG-706,>3000nM
FLT3(ITD),AMG-706,>3000nM
