Kinase,Compound,Predicted_Kd_Category
BRK,JNJ-28312141,>3000nM
ACVR1,BMS-540215,>3000nM
ERBB3,MLN-518,>3000nM
KIT,Staurosporine,>3000nM
ERN1,KW-2449,>3000nM
MAP4K5,CEP-701,>3000nM
EPHB3,CP-690550,>3000nM
EPHA1,HKI-272,>3000nM
ACVRL1,CEP-701,>3000nM
PIK3CA(E545K),BI-2536,>3000nM
YANK2,A-674563,>3000nM
TNNI3K,BMS-387032/SNS-032,>3000nM
MEK5,Crizotinib,>3000nM
PIM2,BMS-540215,>3000nM
PIK3C2B,ABT-869,>3000nM
CLK1,TG-101348,>3000nM
CDKL1,LY-317615,>3000nM
TXK,MLN-120B,>3000nM
PFCDPK1(P.falciparum),CHIR-258/TKI-258,>3000nM
ABL1(M351T)-phosphorylated,TG-101348,>3000nM
AAK1,CHIR-258/TKI-258,>3000nM
CAMKK1,Nilotinib,>3000nM
FLT3(R834Q),PHA-665752,>3000nM
JAK2(JH1domain-catalytic),AZD-6244/ARRY-886,>3000nM
BIKE,Imatinib,>3000nM
"EGFR(L747-E749del, A750P)",CI-1033,>3000nM
RIOK2,HKI-272,>3000nM
ERBB2,Flavopiridol,>3000nM
CSNK2A1,ABT-869,>3000nM
NEK1,INCB18424,>3000nM
MARK3,AT-7519,>3000nM
FGFR3(G697C),AZD-2171,>3000nM
"EGFR(L747-S752del, P753S)",BMS-387032/SNS-032,>3000nM
ERK4,Crizotinib,>3000nM
HCK,PTK-787,>3000nM
MST1R,Ki-20227,>3000nM
WEE1,Imatinib,>3000nM
TAOK1,SGX-523,>3000nM
LTK,BMS-387032/SNS-032,>3000nM
EIF2AK1,CHIR-258/TKI-258,>3000nM
DDR1,PD-173955,>3000nM
"KIT(V559D,V654A)",AZD-6244/ARRY-886,>3000nM
CSNK1A1L,LY-317615,>3000nM
FLT3(N841I),R547,>3000nM
DMPK2,Gefitinib,>3000nM
BIKE,GSK-1838705A,>3000nM
TYK2(JH1domain-catalytic),BMS-540215,>3000nM
FGFR3(G697C),Vandetanib,>3000nM
IRAK4,R547,>3000nM
ULK3,Dasatinib,>3000nM
WEE1,MLN-120B,>3000nM
NIM1,PLX-4720,>3000nM
FAK,Vandetanib,>3000nM
CAMK2D,R547,>3000nM
FES,AB-1010,>3000nM
ANKK1,BIRB-796,>3000nM
CDC2L1,CHIR-258/TKI-258,>3000nM
JNK2,GSK-690693,>3000nM
DCAMKL2,Imatinib,>3000nM
EPHA3,GDC-0879,>3000nM
GAK,Vandetanib,>3000nM
PRKG2,SB-203580,>3000nM
MTOR,AZD-6244/ARRY-886,>3000nM
PYK2,A-674563,>3000nM
FER,AG-013736,>3000nM
RIOK2,AT-7519,>3000nM
PKAC-beta,Staurosporine,>3000nM
PKMYT1,R547,>3000nM
PLK1,Lapatinib,>3000nM
HIPK4,Lapatinib,>3000nM
TRKC,BMS-387032/SNS-032,>3000nM
JAK2(JH1domain-catalytic),GW-2580,>3000nM
MINK,INCB18424,>3000nM
PKNB(M.tuberculosis),Erlotinib,>3000nM
MYLK4,PTK-787,>3000nM
PRKCE,Pazopanib,>3000nM
JAK1(JH2domain-pseudokinase),A-674563,>3000nM
JAK1(JH1domain-catalytic),PD-173955,>3000nM
SIK2,Pazopanib,>3000nM
PLK1,CHIR-258/TKI-258,>3000nM
PAK4,PLX-4720,>3000nM
FLT3(R834Q),AST-487,>3000nM
CAMK1,R547,>3000nM
NEK9,AZD-6244/ARRY-886,>3000nM
DYRK1B,CHIR-258/TKI-258,>3000nM
MLK3,BMS-345541,>3000nM
RIOK1,GDC-0879,>3000nM
CDK8,PHA-665752,>3000nM
PHKG1,Gefitinib,>3000nM
CAMK1G,GW-2580,>3000nM
FGFR3(G697C),BMS-345541,>3000nM
PKAC-alpha,MLN-8054,>3000nM
CSNK1G1,AST-487,>3000nM
CDKL2,BI-2536,>3000nM
DAPK1,AZD-1152HQPA,>3000nM
TSSK1B,HKI-272,>3000nM
p38-alpha,LY-317615,>3000nM
CDKL5,Pazopanib,>3000nM
PRKCH,LY-317615,>3000nM
ICK,ABT-869,>3000nM
OSR1,PLX-4720,>3000nM
YES,JNJ-28312141,>3000nM
EGFR(T790M),GSK-1838705A,>3000nM
FGFR3(G697C),TAE-684,>3000nM
YES,CHIR-265/RAF-265,>3000nM
OSR1,LY-317615,>3000nM
PLK3,MLN-8054,>3000nM
"EGFR(L747-E749del, A750P)",Flavopiridol,>3000nM
FGFR2,JNJ-28312141,>3000nM
"EGFR(L858R,T790M)",MLN-120B,>3000nM
