Kinase,Compound,Predicted_Kd_Category
PDPK1,CEP-701,<300nM
CHEK2,BMS-540215,>300nM
"KIT(V559D,V654A)",PTK-787,>300nM
MERTK,BIRB-796,>300nM
KIT,Dasatinib,<300nM
CDKL5,PP-242,>300nM
YSK1,AZD-1152HQPA,>300nM
FRK,MLN-120B,>300nM
SLK,JNJ-28312141,<300nM
BMPR1B,GDC-0879,>300nM
NEK4,AB-1010,>300nM
JAK1(JH2domain-pseudokinase),AST-487,<300nM
PDGFRB,MLN-518,<300nM
ABL1-phosphorylated,Staurosporine,<300nM
CLK1,GW-2580,>300nM
PIK3CA(E542K),MLN-8054,>300nM
NLK,A-674563,<300nM
CLK2,JNJ-28312141,<300nM
LYN,Ki-20227,<300nM
KIT,LY-333531,>300nM
ABL1(F317I)-phosphorylated,R547,>300nM
ABL1(Q252H)-nonphosphorylated,MLN-8054,<300nM
PKMYT1,GSK-1838705A,>300nM
AAK1,PTK-787,>300nM
CLK4,Dasatinib,>300nM
EPHB1,CI-1033,<300nM
PKN1,BMS-387032/SNS-032,>300nM
RSK1(Kin.Dom.1-N-terminal),BIBW-2992,>300nM
CSNK1G3,GW-2580,>300nM
EPHA6,CHIR-258/TKI-258,<300nM
CSK,MLN-120B,>300nM
AURKC,A-674563,<300nM
EPHB6,BI-2536,<300nM
EGFR(L858R),KW-2449,<300nM
RSK3(Kin.Dom.1-N-terminal),Dasatinib,>300nM
TIE2,CEP-701,<300nM
IGF1R,AB-1010,>300nM
TYK2(JH2domain-pseudokinase),AZD-2171,>300nM
YANK1,PHA-665752,>300nM
CLK1,BMS-345541,>300nM
EPHA6,BIRB-796,>300nM
RET(V804M),PP-242,<300nM
MRCKB,GDC-0941,>300nM
ERBB4,GSK-690693,>300nM
TNIK,GSK-690693,>300nM
TRPM6,R547,>300nM
PIK3CA(Q546K),KW-2449,>300nM
AMPK-alpha2,CP-690550,>300nM
ERN1,LY-333531,>300nM
ABL1(F317I)-nonphosphorylated,GSK-690693,>300nM
PKMYT1,AB-1010,>300nM
NDR1,Pazopanib,>300nM
DMPK,AZD-1152HQPA,>300nM
"EGFR(L858R,T790M)",BIRB-796,>300nM
ERK4,PKC-412,>300nM
MST2,Staurosporine,<300nM
BRSK1,BIRB-796,>300nM
CAMK2G,Vandetanib,>300nM
