Kinase,Compound,Predicted_Kd_Category
BRK,JNJ-28312141,<300nM
ACVR1,BMS-540215,>300nM
ERBB3,MLN-518,>300nM
KIT,Staurosporine,<300nM
ERN1,KW-2449,>300nM
MAP4K5,CEP-701,<300nM
EPHB3,CP-690550,>300nM
EPHA1,HKI-272,>300nM
ACVRL1,CEP-701,>300nM
PIK3CA(E545K),BI-2536,>300nM
YANK2,A-674563,>300nM
TNNI3K,BMS-387032/SNS-032,>300nM
MEK5,Crizotinib,<300nM
PIM2,BMS-540215,>300nM
PIK3C2B,ABT-869,>300nM
CLK1,TG-101348,>300nM
CDKL1,LY-317615,>300nM
TXK,MLN-120B,>300nM
PFCDPK1(P.falciparum),CHIR-258/TKI-258,>300nM
ABL1(M351T)-phosphorylated,TG-101348,<300nM
AAK1,CHIR-258/TKI-258,>300nM
CAMKK1,Nilotinib,>300nM
FLT3(R834Q),PHA-665752,<300nM
JAK2(JH1domain-catalytic),AZD-6244/ARRY-886,>300nM
BIKE,Imatinib,>300nM
"EGFR(L747-E749del, A750P)",CI-1033,<300nM
RIOK2,HKI-272,>300nM
ERBB2,Flavopiridol,>300nM
CSNK2A1,ABT-869,>300nM
NEK1,INCB18424,>300nM
MARK3,AT-7519,>300nM
FGFR3(G697C),AZD-2171,<300nM
"EGFR(L747-S752del, P753S)",BMS-387032/SNS-032,>300nM
ERK4,Crizotinib,>300nM
HCK,PTK-787,>300nM
MST1R,Ki-20227,>300nM
WEE1,Imatinib,>300nM
TAOK1,SGX-523,>300nM
LTK,BMS-387032/SNS-032,>300nM
EIF2AK1,CHIR-258/TKI-258,>300nM
DDR1,PD-173955,<300nM
"KIT(V559D,V654A)",AZD-6244/ARRY-886,>300nM
CSNK1A1L,LY-317615,>300nM
FLT3(N841I),R547,>300nM
DMPK2,Gefitinib,>300nM
BIKE,GSK-1838705A,>300nM
TYK2(JH1domain-catalytic),BMS-540215,>300nM
FGFR3(G697C),Vandetanib,>300nM
IRAK4,R547,>300nM
ULK3,Dasatinib,>300nM
WEE1,MLN-120B,>300nM
NIM1,PLX-4720,>300nM
FAK,Vandetanib,>300nM
CAMK2D,R547,>300nM
FES,AB-1010,>300nM
ANKK1,BIRB-796,>300nM
CDC2L1,CHIR-258/TKI-258,>300nM
JNK2,GSK-690693,>300nM
DCAMKL2,Imatinib,>300nM
EPHA3,GDC-0879,>300nM
GAK,Vandetanib,>300nM
PRKG2,SB-203580,>300nM
MTOR,AZD-6244/ARRY-886,>300nM
PYK2,A-674563,>300nM
FER,AG-013736,>300nM
RIOK2,AT-7519,>300nM
PKAC-beta,Staurosporine,<300nM
PKMYT1,R547,>300nM
PLK1,Lapatinib,>300nM
HIPK4,Lapatinib,>300nM
TRKC,BMS-387032/SNS-032,>300nM
JAK2(JH1domain-catalytic),GW-2580,>300nM
MINK,INCB18424,>300nM
PKNB(M.tuberculosis),Erlotinib,>300nM
MYLK4,PTK-787,>300nM
PRKCE,Pazopanib,>300nM
JAK1(JH2domain-pseudokinase),A-674563,>300nM
JAK1(JH1domain-catalytic),PD-173955,>300nM
SIK2,Pazopanib,>300nM
PLK1,CHIR-258/TKI-258,>300nM
PAK4,PLX-4720,>300nM
FLT3(R834Q),AST-487,<300nM
CAMK1,R547,>300nM
NEK9,AZD-6244/ARRY-886,>300nM
DYRK1B,CHIR-258/TKI-258,>300nM
MLK3,BMS-345541,>300nM
RIOK1,GDC-0879,>300nM
CDK8,PHA-665752,>300nM
PHKG1,Gefitinib,>300nM
CAMK1G,GW-2580,>300nM
FGFR3(G697C),BMS-345541,>300nM
PKAC-alpha,MLN-8054,>300nM
CSNK1G1,AST-487,>300nM
CDKL2,BI-2536,>300nM
DAPK1,AZD-1152HQPA,>300nM
TSSK1B,HKI-272,>300nM
p38-alpha,LY-317615,>300nM
CDKL5,Pazopanib,>300nM
PRKCH,LY-317615,>300nM
ICK,ABT-869,>300nM
OSR1,PLX-4720,>300nM
YES,JNJ-28312141,<300nM
EGFR(T790M),GSK-1838705A,>300nM
FGFR3(G697C),TAE-684,<300nM
YES,CHIR-265/RAF-265,>300nM
OSR1,LY-317615,>300nM
PLK3,MLN-8054,>300nM
"EGFR(L747-E749del, A750P)",Flavopiridol,>300nM
FGFR2,JNJ-28312141,>300nM
"EGFR(L858R,T790M)",MLN-120B,>300nM
FLT3(R834Q),SB-203580,>300nM
MAP3K15,LY-317615,>300nM
TNK2,Crizotinib,>300nM
AKT2,TAE-684,>300nM
ABL1(Q252H)-phosphorylated,BMS-540215,>300nM
AMPK-alpha1,TAE-684,>300nM
PKMYT1,Flavopiridol,>300nM
CDK4-cyclinD3,Dasatinib,>300nM
RIPK2,LY-317615,>300nM
PIK3CA(C420R),PLX-4720,>300nM
AKT1,AST-487,>300nM
KIT(A829P),PHA-665752,>300nM
CSNK1A1,AST-487,>300nM
CASK,TAE-684,<300nM
PDPK1,BMS-387032/SNS-032,>300nM
SBK1,MLN-518,>300nM
MST3,SGX-523,>300nM
DLK,Erlotinib,>300nM
ICK,GSK-690693,>300nM
ABL1(F317I)-nonphosphorylated,CHIR-258/TKI-258,>300nM
PRKCH,Dasatinib,>300nM
RSK4(Kin.Dom.1-N-terminal),R406,>300nM
ABL1(M351T)-phosphorylated,JNJ-28312141,>300nM
EPHB4,PHA-665752,>300nM
EPHB3,SB-203580,>300nM
CAMK2D,A-674563,>300nM
ULK3,INCB18424,>300nM
CASK,PTK-787,>300nM
PKN1,AST-487,>300nM
ACVRL1,GSK-690693,>300nM
EGFR(E746-A750del),Staurosporine,>300nM
RIPK4,SB-203580,>300nM
MAP3K3,BMS-387032/SNS-032,>300nM
MYO3A,Flavopiridol,>300nM
CDKL5,Erlotinib,>300nM
PAK3,AZD-2171,>300nM
ERK1,BMS-387032/SNS-032,>300nM
CAMK1G,CEP-701,>300nM
PKAC-beta,Lapatinib,>300nM
KIT(V559D),CHIR-265/RAF-265,<300nM
PIK3CA(E542K),R547,>300nM
VRK2,PLX-4720,>300nM
PKNB(M.tuberculosis),MLN-120B,>300nM
"EGFR(L747-E749del, A750P)",AST-487,>300nM
RET(V804M),BIRB-796,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),Lapatinib,>300nM
LRRK2(G2019S),Vandetanib,>300nM
ABL1(T315I)-phosphorylated,CHIR-265/RAF-265,>300nM
GSK3B,BMS-387032/SNS-032,>300nM
EPHB2,JNJ-28312141,>300nM
BMX,Gefitinib,>300nM
EPHB1,LY-333531,>300nM
IKK-epsilon,AG-013736,>300nM
TAOK3,PHA-665752,>300nM
AMPK-alpha1,GDC-0879,>300nM
ANKK1,Nilotinib,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),CP-690550,>300nM
TRPM6,A-674563,>300nM
ERBB4,JNJ-28312141,>300nM
PIP5K2C,AB-1010,>300nM
TSSK1B,SB-203580,>300nM
MLCK,MLN-518,>300nM
MST2,SB-203580,>300nM
HIPK2,PLX-4720,>300nM
PIK3CA(E542K),TAE-684,>300nM
CSF1R,AZD-6244/ARRY-886,>300nM
ABL1(Q252H)-phosphorylated,GW-2580,>300nM
MLK3,PTK-787,>300nM
TYK2(JH1domain-catalytic),AB-1010,>300nM
MAK,LY-317615,>300nM
CDKL5,ABT-869,>300nM
LKB1,ABT-869,>300nM
FLT3(R834Q),PTK-787,>300nM
RIPK4,TAE-684,>300nM
MEK2,Dasatinib,>300nM
ABL1(Y253F)-phosphorylated,MLN-8054,>300nM
PIP5K2B,INCB18424,>300nM
CHEK2,SGX-523,>300nM
CDK7,Erlotinib,>300nM
CDKL2,TG-101348,>300nM
ROCK1,PLX-4720,>300nM
JNK2,Staurosporine,<300nM
HIPK2,LY-317615,>300nM
STK16,SGX-523,>300nM
RAF1,LY-317615,>300nM
CASK,LY-333531,>300nM
PRKR,INCB18424,>300nM
RET(M918T),KW-2449,<300nM
ABL1(Q252H)-nonphosphorylated,MLN-120B,>300nM
RET(M918T),Imatinib,>300nM
PIP5K2C,GDC-0941,>300nM
PIK3CD,KW-2449,>300nM
TEC,Staurosporine,<300nM
ANKK1,BMS-540215,>300nM
ABL1(T315I)-nonphosphorylated,PTK-787,>300nM
JAK1(JH2domain-pseudokinase),Crizotinib,>300nM
MKNK2,PTK-787,>300nM
LKB1,MLN-518,>300nM
PIK3CA(E542K),CEP-701,>300nM
RPS6KA4(Kin.Dom.1-N-terminal),AC220,>300nM
QSK,INCB18424,>300nM
RSK1(Kin.Dom.2-C-terminal),AB-1010,>300nM
PLK1,PLX-4720,>300nM
ERK8,A-674563,>300nM
"KIT(V559D,T670I)",LY-333531,>300nM
CAMK1G,GSK-690693,>300nM
ABL1(M351T)-phosphorylated,GDC-0941,>300nM
ABL1(H396P)-phosphorylated,GDC-0879,>300nM
JAK2(JH1domain-catalytic),BMS-345541,>300nM
SRPK2,AZD-1152HQPA,>300nM
JAK1(JH1domain-catalytic),KW-2449,<300nM
CTK,MLN-8054,>300nM
RSK1(Kin.Dom.1-N-terminal),INCB18424,>300nM
VEGFR2,AC220,>300nM
RSK2(Kin.Dom.1-N-terminal),AZD-6244/ARRY-886,>300nM
CAMKK2,KW-2449,>300nM
YSK4,SB-203580,>300nM
TTK,GDC-0941,>300nM
CDK2,AB-1010,>300nM
IKK-alpha,TAE-684,>300nM
TAOK3,GSK-1838705A,>300nM
ALK,Dasatinib,>300nM
MEK4,Erlotinib,>300nM
FLT3(N841I),PP-242,>300nM
SNARK,SGX-523,>300nM
ROCK1,AZD-6244/ARRY-886,>300nM
SYK,BMS-345541,>300nM
ABL1-phosphorylated,Dasatinib,<300nM
PIK3CA(E542K),AT-7519,>300nM
ROCK1,CP-690550,>300nM
PLK2,GSK-1838705A,>300nM
PIK3CA(C420R),SGX-523,>300nM
PFPK5(P.falciparum),PLX-4720,>300nM
AURKC,PTK-787,>300nM
PIK3CA(Q546K),HKI-272,>300nM
TESK1,BMS-345541,>300nM
LRRK2(G2019S),LY-333531,>300nM
EGFR(L858R),AZD-2171,>300nM
PIM2,TG-101348,>300nM
MST4,PLX-4720,>300nM
MRCKB,CP-690550,>300nM
FLT3,A-674563,>300nM
PIM1,LY-317615,>300nM
FLT3(D835H),BIBW-2992,>300nM
EGFR,Erlotinib,<300nM
PYK2,AC220,>300nM
NEK5,TG-101348,>300nM
TGFBR2,R406,>300nM
FLT3(D835H),Nilotinib,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),CEP-701,<300nM
"GCN2(Kin.Dom.2,S808G)",MLN-518,>300nM
KIT(D816H),PKC-412,<300nM
MYLK4,PP-242,>300nM
"KIT(V559D,V654A)",AT-7519,>300nM
MAP3K4,MLN-8054,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),TAE-684,>300nM
EGFR(S752-I759del),Staurosporine,>300nM
RET(M918T),AG-013736,<300nM
"KIT(V559D,V654A)",PD-173955,<300nM
TESK1,SGX-523,>300nM
CAMK2G,LY-333531,>300nM
AURKB,LY-317615,>300nM
JAK2(JH1domain-catalytic),AST-487,<300nM
ABL1(F317L)-nonphosphorylated,AG-013736,>300nM
PIM3,TAE-684,>300nM
TSSK1B,PKC-412,>300nM
HCK,Gefitinib,>300nM
JAK2(JH1domain-catalytic),MLN-8054,>300nM
PIK3CA(E542K),PTK-787,>300nM
NEK6,Imatinib,>300nM
ANKK1,AZD-6244/ARRY-886,>300nM
PIP5K1A,BMS-387032/SNS-032,>300nM
DAPK2,A-674563,>300nM
ERBB3,BMS-345541,>300nM
CSNK1G2,PD-173955,>300nM
BRSK1,BMS-387032/SNS-032,>300nM
MRCKB,Flavopiridol,>300nM
TIE2,BMS-387032/SNS-032,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),GW-2580,>300nM
MLK2,BMS-387032/SNS-032,>300nM
EPHA3,PKC-412,>300nM
NEK4,PTK-787,>300nM
OSR1,Pazopanib,>300nM
TNK2,Ki-20227,>300nM
TNK1,Pazopanib,>300nM
SIK2,CP-690550,>300nM
CDKL1,LY-333531,>300nM
TGFBR2,PD-173955,<300nM
CAMKK2,BMS-345541,>300nM
CSNK1A1L,HKI-272,>300nM
PIM1,AST-487,>300nM
AKT1,CEP-701,>300nM
ABL2,PLX-4720,>300nM
BRK,PKC-412,>300nM
INSR,Staurosporine,<300nM
IRAK4,HKI-272,>300nM
CDKL3,TG-101348,>300nM
RSK1(Kin.Dom.1-N-terminal),MLN-8054,>300nM
MAP3K1,A-674563,>300nM
CLK4,R547,<300nM
"EGFR(L747-E749del, A750P)",GSK-690693,>300nM
CDKL2,MLN-120B,>300nM
"EGFR(L858R,T790M)",MLN-518,>300nM
TNK2,PKC-412,<300nM
HPK1,PKC-412,>300nM
MAP3K2,MLN-120B,>300nM
TNK2,AB-1010,>300nM
MAP3K15,CHIR-258/TKI-258,>300nM
ABL1(F317I)-nonphosphorylated,A-674563,>300nM
ABL1(H396P)-phosphorylated,Nilotinib,<300nM
ERK2,AG-013736,>300nM
CDC2L5,AZD-1152HQPA,>300nM
EPHA6,BIBW-2992,>300nM
STK35,SB-203580,>300nM
PDGFRB,CHIR-258/TKI-258,<300nM
ABL1-nonphosphorylated,TG-101348,<300nM
PIM3,BMS-387032/SNS-032,>300nM
MRCKB,CEP-701,>300nM
YANK1,GSK-1838705A,>300nM
MAP3K1,JNJ-28312141,>300nM
MAST1,ABT-869,>300nM
DAPK1,CI-1033,>300nM
NEK5,Flavopiridol,>300nM
GRK1,GW-2580,>300nM
